state,jurisdiction,document,pdf_url,text_url,title
Tennessee,Metropolitan Nashville,Police Union Contract,https://www.checkthepolice.org/s/Nashville-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Tennessee/Metropolitan%20Nashville/Police%20Union%20Contract.txt,Metropolitan Nashville Police Union Contract
Tennessee,Memphis,Police Union Contract,https://www.checkthepolice.org/s/Memphis-Police-Contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Tennessee/Memphis/Police%20Union%20Contract.txt,Memphis Police Union Contract
Maryland,Baltimore,non supervisors,https://www.checkthepolice.org/s/Baltimore-police-contract-14-16.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Maryland/Baltimore/non%20supervisors.txt,Baltimore non supervisors
Maryland,Baltimore,supervisors,https://www.checkthepolice.org/s/Baltimore-police-sergeants-contract-11.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Maryland/Baltimore/supervisors.txt,Baltimore supervisors
Pennsylvania,Pittsburgh,Police Union Contract,https://www.checkthepolice.org/s/Pittsburg-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Pennsylvania/Pittsburgh/Police%20Union%20Contract.txt,Pittsburgh Police Union Contract
Pennsylvania,Philadelphia,original contract,https://www.checkthepolice.org/s/2010_Master_FOP_Contract_-_Police_booklet.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Pennsylvania/Philadelphia/original%20contract.txt,Philadelphia original contract
Pennsylvania,Philadelphia,Police Union Contract,https://www.checkthepolice.org/s/Philadelphia-police-union-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Pennsylvania/Philadelphia/Police%20Union%20Contract.txt,Philadelphia Police Union Contract
Nebraska,Omaha,Police Union Contract,https://www.checkthepolice.org/s/Omaha-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Nebraska/Omaha/Police%20Union%20Contract.txt,Omaha Police Union Contract
Ohio,Toledo,Police Union Contract,https://www.checkthepolice.org/s/Toledo-Police-Contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Ohio/Toledo/Police%20Union%20Contract.txt,Toledo Police Union Contract
Ohio,Columbus,Police Union Contract,https://www.checkthepolice.org/s/FOP-OLC-Contract-2017-2020-1.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Ohio/Columbus/Police%20Union%20Contract.txt,Columbus Police Union Contract
Ohio,Cincinnati,supervisors,https://www.checkthepolice.org/s/Cincinnatipolicesupervisorscontract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Ohio/Cincinnati/supervisors.txt,Cincinnati supervisors
Ohio,Cincinnati,non-supervisors,https://www.checkthepolice.org/s/Cincinnatipolicenonsupervisorscontract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Ohio/Cincinnati/non-supervisors.txt,Cincinnati non-supervisors
Ohio,Cleveland,supervisors,https://www.dropbox.com/s/50br29dv446cgmk/Cleveland%20police%20supervisors%20contract.pdf?dl=0,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Ohio/Cleveland/supervisors.txt,Cleveland supervisors
Ohio,Cleveland,non-supervisors,https://www.dropbox.com/s/b26fdto7ddyzx8r/Cleveland%20police%20non%20supervisors%20contract.pdf?dl=0,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Ohio/Cleveland/non-supervisors.txt,Cleveland non-supervisors
